code,date,close,open,high,low,volume,amount
000300.SH,20220923,3856.0212,3865.1049,3888.3958,3829.6913,94342462.0,172904807.364
000300.SH,20220922,3869.344,3875.1771,3900.2736,3860.2308,80946919.0,161134102.784
000300.SH,20220921,3903.7348,3921.3177,3924.3914,3884.2268,86458391.0,168939074.343
000300.SH,20220920,3932.8361,3945.6467,3957.5538,3921.6884,84824134.0,179248153.538
000300.SH,20220919,3928.0001,3928.4239,3953.6494,3910.3106,97719575.0,183574440.582
000300.SH,20220916,3932.6826,4013.5829,4019.4104,3932.6826,137193655.0,241251840.05
000300.SH,20220915,4027.1186,4078.6495,4088.8078,3998.8564,123951196.0,254367492.776
000300.SH,20220914,4065.359,4058.0441,4089.0583,4047.9187,90793681.0,185484965.111
000300.SH,20220913,4111.1145,4112.0123,4128.1113,4097.1408,111789737.0,218521062.136
000300.SH,20220909,4093.7874,4050.5853,4099.0081,4042.2498,118427114.0,221442547.204
000300.SH,20220908,4037.6839,4059.1689,4067.758,4036.0226,100886049.0,186889047.981
000300.SH,20220907,4054.983,4032.7231,4067.5437,4028.374,107678059.0,215147152.182
000300.SH,20220906,4052.2802,4024.4726,4054.004,4009.5826,113506265.0,235921838.118
000300.SH,20220905,4015.4264,4010.4052,4016.9986,3982.7395,93767109.0,201118696.559
000300.SH,20220902,4023.6131,4054.8423,4056.1805,4004.911,86789278.0,184468327.006
000300.SH,20220901,4043.7395,4066.1869,4090.8852,4041.1281,97387071.0,210898503.454
000300.SH,20220831,4078.8402,4057.1443,4112.8485,4046.6225,132449765.0,292974665.546
000300.SH,20220830,4075.7937,4088.5262,4093.1356,4048.5244,93301662.0,192649001.278
000300.SH,20220829,4089.5205,4063.8825,4092.9474,4059.5963,94354432.0,203086114.712
000300.SH,20220826,4107.5455,4127.8142,4139.7879,4102.6818,99000493.0,225519196.8
000300.SH,20220825,4116.2396,4093.2949,4119.6196,4058.7454,111320745.0,242149581.478
000300.SH,20220824,4082.4195,4168.5764,4174.1565,4079.0934,119069679.0,262844309.316
000300.SH,20220823,4161.0823,4175.5314,4187.3875,4147.4127,103153512.0,239101330.833
000300.SH,20220822,4181.3965,4135.1623,4183.6498,4134.2008,112442720.0,259747163.698
000300.SH,20220819,4151.0738,4174.5458,4185.6579,4151.0738,117402978.0,262494128.152
000300.SH,20220818,4180.0996,4205.7851,4211.9141,4173.541,101052650.0,233115491.39
000300.SH,20220817,4216.9586,4182.5668,4222.7866,4155.1734,112864659.0,252044325.052
000300.SH,20220816,4177.837,4190.5269,4208.8006,4170.5197,93906139.0,233818584.732
000300.SH,20220815,4185.6794,4180.0006,4219.9183,4174.3,105898495.0,245539800.985
000300.SH,20220812,4191.152,4185.4203,4202.4663,4175.0501,106808295.0,219208055.255
000300.SH,20220811,4193.5428,4130.741,4193.8115,4116.0558,121385051.0,269630998.407
000300.SH,20220810,4109.7373,4149.2071,4160.7871,4092.5455,85565839.0,217447368.47
000300.SH,20220809,4156.2907,4143.666,4161.8086,4131.4252,84136959.0,214223692.26
000300.SH,20220808,4148.0746,4142.1111,4155.7301,4135.0809,90208138.0,224080812.055
000300.SH,20220805,4156.9111,4109.6287,4159.485,4097.8625,102571004.0,247325902.015
000300.SH,20220804,4101.5367,4089.4419,4108.1591,4064.6594,89532644.0,216898674.902
000300.SH,20220803,4066.9754,4114.8251,4150.9804,4058.1792,116666124.0,268695834.765
000300.SH,20220802,4107.024,4144.3765,4144.3765,4071.431,142224425.0,281013555.28
000300.SH,20220801,4188.6784,4160.6478,4196.5743,4129.4528,107749029.0,251125308.598
000300.SH,20220729,4170.1019,4226.4245,4243.5143,4160.8735,114179286.0,253198574.648
000300.SH,20220728,4225.6733,4242.2743,4267.9181,4223.029,107531930.0,243871486.472
000300.SH,20220727,4225.0357,4236.154,4242.0951,4217.2809,78904940.0,194245303.807
000300.SH,20220726,4245.9758,4220.0911,4259.9854,4214.5343,85823274.0,197601406.374
000300.SH,20220725,4212.6441,4233.9277,4234.8448,4201.919,83636664.0,188136426.673
000300.SH,20220722,4238.2341,4251.7867,4275.4696,4207.3135,103840624.0,224295333.457
000300.SH,20220721,4236.0578,4270.3624,4283.1471,4236.0499,117156344.0,239228146.812
000300.SH,20220720,4283.8027,4291.2808,4303.3668,4269.9717,94490144.0,212301881.408
000300.SH,20220719,4269.3401,4288.4441,4288.4441,4238.8238,103805730.0,231117731.807
000300.SH,20220718,4292.5858,4262.1539,4300.7777,4217.5064,122601192.0,281055128.64
000300.SH,20220715,4248.5273,4299.4714,4344.8572,4248.5273,150214453.0,316793192.67
000300.SH,20220714,4322.0742,4308.8229,4352.0978,4292.7595,145250926.0,301569861.037
000300.SH,20220713,4321.4617,4313.3589,4341.4663,4284.9419,131113179.0,286075545.407
000300.SH,20220712,4313.6184,4352.6456,4370.3411,4296.6215,130187838.0,291072311.85
000300.SH,20220711,4354.6167,4406.1476,4406.1476,4330.5819,134448578.0,299195233.43
000300.SH,20220708,4428.781,4468.0627,4479.4937,4426.8856,123195739.0,304031107.303
000300.SH,20220707,4443.4736,4425.2814,4457.3431,4391.1938,132660906.0,328133133.657
000300.SH,20220706,4423.9698,4475.4815,4484.3615,4393.4165,149800235.0,344672707.728
000300.SH,20220705,4489.5383,4505.4572,4530.3245,4439.4511,154962415.0,361891850.839
000300.SH,20220704,4496.0303,4447.2159,4496.0338,4427.8232,146345651.0,356968521.261
000300.SH,20220701,4466.7179,4489.5204,4500.9853,4449.2914,144779599.0,318492130.2
000300.SH,20220630,4485.0108,4418.0656,4514.9968,4418.0656,156666289.0,354343886.76
000300.SH,20220629,4421.357,4472.7346,4503.1307,4413.9961,187276688.0,395926107.699
000300.SH,20220628,4490.5166,4442.5811,4497.8949,4407.3519,174756489.0,361685970.664
000300.SH,20220627,4444.2639,4414.3321,4472.6948,4414.3321,177385676.0,381432966.328
