code,date,open,high,low,close,volume,date,adj_factor
159928.SZ,20221014,4.06,4.112,4.04,4.088,1257104.26,20221014,4.0
159928.SZ,20221013,4.032,4.072,3.992,4.032,1332396.26,20221013,4.0
159928.SZ,20221012,4.06,4.06,3.936,4.048,2106671.0,20221012,4.0
159928.SZ,20221011,4.04,4.068,3.992,4.052,2168849.81,20221011,4.0
159928.SZ,20221010,4.164,4.172,4.036,4.044,2277714.0,20221010,4.0
159928.SZ,20220930,4.172,4.224,4.16,4.168,2098222.0,20220930,4.0
159928.SZ,20220929,4.22,4.252,4.156,4.18,1989085.0,20220929,4.0
159928.SZ,20220928,4.204,4.24,4.18,4.184,1984164.59,20220928,4.0
159928.SZ,20220927,4.08,4.212,4.056,4.208,2330999.73,20220927,4.0
159928.SZ,20220926,4.02,4.12,4.016,4.064,1119624.0,20220926,4.0
159928.SZ,20220923,4.036,4.08,4.008,4.052,1056035.0,20220923,4.0
159928.SZ,20220922,4.08,4.092,4.04,4.04,981917.0,20220922,4.0
159928.SZ,20220921,4.152,4.16,4.096,4.1,993645.0,20220921,4.0
159928.SZ,20220920,4.152,4.176,4.112,4.16,997514.0,20220920,4.0
159928.SZ,20220919,4.1,4.184,4.08,4.14,1814588.0,20220919,4.0
159928.SZ,20220916,4.18,4.192,4.096,4.096,1625304.0,20220916,4.0
159928.SZ,20220915,4.184,4.224,4.152,4.172,1930683.0,20220915,4.0
159928.SZ,20220914,4.168,4.204,4.16,4.18,1610534.0,20220914,4.0
159928.SZ,20220913,4.156,4.232,4.148,4.2,1424703.51,20220913,4.0
159928.SZ,20220909,4.1,4.152,4.084,4.144,1412766.0,20220909,4.0
159928.SZ,20220908,4.112,4.152,4.096,4.1,990722.92,20220908,4.0
159928.SZ,20220907,4.14,4.144,4.092,4.112,1356798.0,20220907,4.0
159928.SZ,20220906,4.136,4.176,4.132,4.168,1011515.0,20220906,4.0
159928.SZ,20220905,4.204,4.204,4.112,4.148,1370409.81,20220905,4.0
159928.SZ,20220902,4.252,4.264,4.188,4.216,1414720.0,20220902,4.0
