code,date,close,open,high,low,volume,amount
399971.SZ,20220923,827.9229,842.8741,843.3875,823.1147,7951587.0,6098302.9
399971.SZ,20220922,842.7309,850.1911,854.5217,842.6487,6814807.0,4868864.9
399971.SZ,20220921,856.4223,847.5315,858.5769,834.6777,7308934.0,5659149.6
399971.SZ,20220920,851.0,851.1052,857.5371,847.9333,6258460.0,4881989.4
399971.SZ,20220919,847.5689,862.0016,862.8813,841.3653,8388875.0,6733149.8
399971.SZ,20220916,863.1016,879.3888,884.9533,863.0813,9491535.0,7768474.7
399971.SZ,20220915,880.8506,891.9194,899.5565,873.5733,9963407.0,8055601.7
399971.SZ,20220914,888.3331,885.151,893.1071,883.6252,7259597.0,5204148.1
399971.SZ,20220913,897.4382,897.5722,905.2421,896.1732,7207016.0,5766000.1
399971.SZ,20220909,896.4371,891.3396,897.1742,885.0763,7274982.0,5623199.7
399971.SZ,20220908,891.3051,898.7839,903.1708,890.7263,8079365.0,6372502.3
399971.SZ,20220907,896.7519,909.5965,909.5965,894.2132,9862852.0,7507934.9
399971.SZ,20220906,913.6297,911.0514,913.6748,903.4104,8206316.0,6449094.1
399971.SZ,20220905,910.583,926.8112,926.8112,904.2757,11072283.0,8715139.5
399971.SZ,20220902,927.6888,911.6069,931.7487,911.6022,11573886.0,8897284.7
399971.SZ,20220901,910.9345,924.6737,929.5054,909.885,11184937.0,8987732.9
399971.SZ,20220831,926.0652,928.0378,946.3466,924.2011,15341034.0,12537492.8
399971.SZ,20220830,930.2455,918.4424,938.3864,918.3908,11306867.0,8918227.9
399971.SZ,20220829,921.1975,910.9949,921.973,906.8849,9900286.0,7818761.3
399971.SZ,20220826,923.8342,926.5848,937.544,921.9973,11162866.0,9334225.3
399971.SZ,20220825,925.9404,926.3879,926.9683,906.4686,11787088.0,9416533.5
399971.SZ,20220824,921.2653,935.2972,944.7364,919.8321,12768684.0,10351485.4
399971.SZ,20220823,936.0574,943.1531,945.6545,933.5804,11182084.0,9100771.2
399971.SZ,20220822,945.3471,929.8281,947.4016,918.4035,14449906.0,11567339.8
399971.SZ,20220819,932.6433,926.6963,949.8137,926.4559,14698250.0,12277498.0
399971.SZ,20220818,927.1163,940.4837,940.4837,922.5814,10297650.0,9173750.3
399971.SZ,20220817,944.1617,930.3364,944.1617,924.285,11526753.0,9940664.4
399971.SZ,20220816,928.9834,934.7914,935.6507,924.2158,7967624.0,7061265.7
399971.SZ,20220815,934.681,940.4195,940.4195,931.6392,8875250.0,7492291.3
399971.SZ,20220812,942.3062,936.1877,945.216,931.0321,11151749.0,9297771.5
399971.SZ,20220811,934.8609,909.2507,934.9852,909.2507,12711204.0,10194439.7
399971.SZ,20220810,905.3031,910.4037,910.7223,901.3786,6995842.0,5785285.8
399971.SZ,20220809,913.3528,916.3283,916.3283,905.8225,6811656.0,5298813.4
399971.SZ,20220808,916.9066,917.873,920.332,912.4379,7492097.0,5832684.7
399971.SZ,20220805,920.5198,897.902,920.7255,897.5266,9980025.0,8062437.3
399971.SZ,20220804,896.4523,889.2091,896.463,883.1864,8353468.0,6191227.0
399971.SZ,20220803,883.16,894.9393,907.8115,881.733,9932462.0,7603716.8
399971.SZ,20220802,895.2413,924.7199,924.7199,884.1428,13537273.0,9937760.2
399971.SZ,20220801,933.6577,929.8881,934.3263,920.1582,7394509.0,6318309.3
399971.SZ,20220729,930.9793,943.9887,948.8822,929.8029,9403384.0,7911159.5
399971.SZ,20220728,942.4909,946.9852,953.1086,942.0958,8253089.0,6809385.4
399971.SZ,20220727,942.9572,944.9237,948.638,941.8752,8044551.0,6743672.2
399971.SZ,20220726,947.4929,934.7537,947.7626,934.3343,8537297.0,6752877.2
399971.SZ,20220725,930.756,942.2811,947.2069,926.9878,7674389.0,6043608.9
399971.SZ,20220722,941.8968,954.8321,957.8744,934.9507,9887388.0,8623636.0
399971.SZ,20220721,955.6681,948.9509,963.583,945.6519,13130234.0,11902713.2
399971.SZ,20220720,947.9051,948.1624,954.7765,944.6198,10554450.0,8327308.1
399971.SZ,20220719,943.4845,927.7939,943.798,927.3026,11572478.0,8917629.1
399971.SZ,20220718,927.3746,903.5757,927.8001,903.5757,10426643.0,8112404.7
399971.SZ,20220715,904.3145,926.8462,926.8462,904.2606,10602468.0,8051173.9
399971.SZ,20220714,928.267,927.8869,933.3041,923.6535,7998345.0,6352530.3
399971.SZ,20220713,931.4225,928.9286,941.4634,926.7063,9031947.0,7363422.1
399971.SZ,20220712,925.2658,936.4728,936.4728,925.2658,9482847.0,7522232.8
399971.SZ,20220711,934.3444,947.4624,947.4624,930.0322,12446104.0,8734736.1
399971.SZ,20220708,949.7303,942.553,961.2128,942.553,12118611.0,9328313.3
399971.SZ,20220707,938.9672,943.1167,943.7612,935.3876,8729544.0,7306213.8
399971.SZ,20220706,943.1781,958.9917,959.5583,935.7712,11064236.0,8934968.3
399971.SZ,20220705,960.4709,974.2389,977.0092,950.0698,12390486.0,10386397.6
399971.SZ,20220704,974.6397,974.1525,976.0558,966.2849,10122065.0,8468144.1
399971.SZ,20220701,975.1056,991.2549,991.6809,973.8415,11891077.0,10139754.3
399971.SZ,20220630,990.875,983.4908,1001.5842,983.4908,15901970.0,13465573.8
399971.SZ,20220629,979.2518,987.7308,1002.0432,979.2518,15954261.0,12855996.6
399971.SZ,20220628,991.0351,982.6371,991.7834,973.7554,13582767.0,11400545.7
399971.SZ,20220627,984.2908,976.875,999.1676,976.875,16114058.0,13680383.6
399971.SZ,20220624,974.4263,970.7389,979.086,968.0554,15199902.0,11122157.1
399971.SZ,20220623,970.7678,965.1305,971.1009,949.5282,16418460.0,11697521.1
399971.SZ,20220622,964.0313,998.3469,999.3477,963.9637,16938281.0,13793984.4
399971.SZ,20220621,996.9021,985.3885,999.7541,981.4173,16615484.0,14155330.7
399971.SZ,20220620,986.0413,978.1936,989.405,975.2055,13923564.0,12420200.6
399971.SZ,20220617,979.3544,988.2235,989.5564,963.7057,18211782.0,15396397.9
399971.SZ,20220616,991.4786,963.8685,1000.8296,963.8685,22192447.0,18776929.8
399971.SZ,20220615,963.4528,955.1263,977.3883,954.5317,17719132.0,13417064.1
399971.SZ,20220614,956.3694,951.0147,956.404,926.1277,15987452.0,11930133.4
399971.SZ,20220613,959.9144,963.1994,966.1583,949.9138,16995660.0,12600901.9
399971.SZ,20220610,971.5092,952.629,974.6176,949.6674,14602882.0,11942916.5
399971.SZ,20220609,961.0277,966.8989,974.4008,956.1846,13446267.0,11470448.2
399971.SZ,20220608,969.6541,974.3203,976.9343,952.0434,15028950.0,12579250.7
399971.SZ,20220607,965.5864,967.9157,974.2773,958.1226,12902103.0,10454599.5
399971.SZ,20220606,966.681,947.8648,967.1113,947.3598,13512178.0,10899408.8
399971.SZ,20220602,950.7596,946.5672,951.335,936.4482,11167178.0,9383845.6
399971.SZ,20220601,953.3897,949.4459,960.5059,946.5119,14773570.0,11749372.9
399971.SZ,20220531,951.8616,931.1735,954.8965,926.3187,15357890.0,12159375.7
399971.SZ,20220530,933.3071,930.967,933.6888,922.684,12140716.0,9653412.7
399971.SZ,20220527,928.328,940.9863,942.5315,921.3672,12295214.0,10203608.9
399971.SZ,20220526,938.3449,927.6934,938.546,919.1442,14915537.0,11453702.4
