code,date,open,close,high,low,swing,volume
GDAXI,20220923,12506.64,12284.19,12521.25,12180.76,2.72,86586.06
GDAXI,20220922,12531.66,12531.63,12781.56,12526.61,2.0,66518.0
GDAXI,20220921,12555.31,12767.15,12771.78,12520.81,1.98,55261.07
GDAXI,20220920,12849.78,12670.83,12936.57,12638.22,2.33,62735.62
GDAXI,20220919,12685.29,12803.24,12866.7,12606.64,2.04,49572.08
GDAXI,20220916,12814.92,12741.26,12815.33,12699.22,0.9,148484.82
GDAXI,20220915,13040.36,12956.66,13111.38,12927.2,1.41,67754.44
GDAXI,20220914,13131.34,13028.0,13192.82,12952.09,1.83,62447.36
GDAXI,20220913,13450.39,13188.95,13564.83,13183.19,2.85,68417.75
GDAXI,20220912,13171.92,13402.27,13441.54,13165.78,2.11,67016.56
GDAXI,20220909,12926.15,13088.21,13121.13,12925.57,1.52,67711.63
GDAXI,20220908,12985.61,12904.32,13008.82,12688.87,2.48,71238.69
GDAXI,20220907,12770.72,12915.97,12953.99,12736.09,1.69,67114.0
GDAXI,20220906,12807.27,12871.44,12927.79,12760.04,1.31,53633.06
GDAXI,20220905,12827.58,12760.78,12827.58,12617.4,1.61,62869.2
GDAXI,20220902,12768.44,13050.27,13051.57,12736.01,2.5,67334.13
GDAXI,20220901,12713.75,12630.23,12743.05,12603.58,1.09,61592.46
GDAXI,20220831,13018.48,12834.96,13020.54,12814.81,1.59,82990.63
GDAXI,20220830,12919.43,12961.14,13154.15,12885.08,2.09,62476.09
GDAXI,20220829,12838.42,12892.99,12942.46,12758.44,1.42,
GDAXI,20220826,13335.1,12971.47,13375.02,12939.96,3.28,67244.94
GDAXI,20220825,13328.49,13271.96,13364.55,13210.99,1.16,41612.07
GDAXI,20220824,13131.12,13220.06,13238.61,13085.2,1.16,46805.34
GDAXI,20220823,13163.52,13194.23,13298.26,13156.44,1.07,53962.87
GDAXI,20220822,13471.44,13230.57,13510.29,13189.27,2.37,68371.31
GDAXI,20220819,13591.24,13544.52,13660.34,13525.69,0.98,65988.63
GDAXI,20220818,13653.82,13697.41,13775.66,13638.16,1.01,47655.24
GDAXI,20220817,13928.12,13626.71,13930.57,13610.44,2.3,57253.74
GDAXI,20220816,13849.62,13910.12,13947.85,13824.97,0.89,50940.8
GDAXI,20220815,13847.88,13816.61,13857.98,13736.0,0.88,37842.09
GDAXI,20220812,13709.83,13795.85,13813.05,13705.02,0.79,58492.17
GDAXI,20220811,13747.07,13694.51,13763.26,13661.17,0.75,54583.72
GDAXI,20220810,13482.63,13700.93,13715.56,13455.7,1.92,56489.67
GDAXI,20220809,13703.38,13534.97,13745.59,13514.71,1.69,51014.89
GDAXI,20220808,13703.38,13687.69,13745.59,13604.55,1.04,51621.46
GDAXI,20220805,13642.91,13573.93,13693.34,13562.62,0.96,62475.38
GDAXI,20220804,13629.7,13662.68,13792.88,13628.57,1.21,64716.45
GDAXI,20220803,13398.7,13587.56,13595.07,13388.34,1.54,63620.15
GDAXI,20220802,13419.19,13449.2,13484.55,13335.39,1.11,56649.46
GDAXI,20220801,13471.2,13479.63,13570.22,13464.9,0.78,57227.43
GDAXI,20220729,13353.28,13484.05,13515.03,13340.59,1.31,82630.5
GDAXI,20220728,13214.41,13282.11,13289.39,13091.26,1.5,74307.5
GDAXI,20220727,13158.64,13166.38,13204.58,13089.96,0.88,79891.75
GDAXI,20220726,13181.92,13096.93,13197.95,13042.41,1.18,58207.39
GDAXI,20220725,13183.24,13210.32,13337.06,13151.86,1.4,56559.86
GDAXI,20220722,13179.56,13253.68,13367.04,13171.14,1.48,76052.0
GDAXI,20220721,13261.82,13246.64,13318.64,13097.75,1.66,87883.06
GDAXI,20220720,13356.67,13281.98,13399.4,13129.13,2.03,75183.5
GDAXI,20220719,12884.83,13308.41,13351.2,12827.89,4.04,73413.13
GDAXI,20220718,12935.05,12959.81,13062.23,12913.69,1.15,61238.74
GDAXI,20220715,12562.15,12864.72,12875.67,12532.94,2.74,
GDAXI,20220714,12759.29,12519.66,12788.01,12434.29,2.77,72591.94
GDAXI,20220713,12800.87,12756.32,12851.9,12625.22,1.76,63022.74
GDAXI,20220712,12751.3,12905.48,12905.48,12655.06,1.95,65196.04
GDAXI,20220711,12783.09,12832.44,12934.87,12774.23,1.23,
GDAXI,20220708,12814.1,13015.23,13019.13,12766.8,1.96,75185.94
GDAXI,20220707,12757.63,12843.22,12867.71,12693.65,1.38,79365.81
GDAXI,20220706,12587.55,12594.52,12668.68,12509.22,1.29,78667.75
GDAXI,20220705,12851.29,12401.2,12870.24,12390.95,3.75,90331.56
GDAXI,20220704,12904.09,12773.38,12919.7,12741.63,1.39,52479.67
GDAXI,20220701,12627.66,12813.03,12894.38,12623.23,2.12,80285.31
GDAXI,20220630,12795.22,12783.77,12811.43,12618.68,1.48,114208.69
GDAXI,20220629,13089.99,13003.35,13132.36,12946.76,1.4,70303.19
GDAXI,20220628,13264.62,13231.82,13358.62,13221.04,1.04,
GDAXI,20220627,13217.9,13186.07,13378.42,13126.86,1.92,68990.56
GDAXI,20220624,12949.87,13118.13,13160.71,12904.86,1.98,95681.0
GDAXI,20220623,13082.62,12912.59,13120.31,12912.59,1.58,99227.31
GDAXI,20220622,13062.26,13144.28,13206.11,12965.69,1.81,76122.81
GDAXI,20220621,13335.15,13292.4,13443.77,13273.2,1.29,64746.31
GDAXI,20220620,13207.79,13265.6,13265.6,13106.38,1.21,54602.37
GDAXI,20220617,13092.85,13126.26,13237.7,13020.42,1.67,190352.38
GDAXI,20220616,13440.43,13038.49,13443.32,13007.91,3.23,104027.25
GDAXI,20220615,13480.5,13485.29,13566.8,13358.4,1.57,80755.69
GDAXI,20220614,13557.44,13304.39,13569.93,13294.0,2.06,78298.75
GDAXI,20220613,13564.47,13427.03,13648.84,13379.87,1.95,91195.56
