code,date,open,close,high,low,swing,volume
HKTECH,20220923,3652.48,3589.63,3668.02,3589.52,2.14,
HKTECH,20220922,3626.1,3673.8,3682.8,3606.66,2.04,
HKTECH,20220921,3815.11,3737.32,3815.11,3733.82,2.11,
HKTECH,20220920,3829.1,3853.98,3884.82,3829.1,1.47,
HKTECH,20220919,3828.01,3778.77,3828.01,3760.2,1.76,
HKTECH,20220916,3911.31,3858.46,3937.29,3858.17,2.0,
HKTECH,20220915,3939.94,3963.31,3980.81,3935.0,1.16,
HKTECH,20220914,3965.24,3953.37,3982.4,3934.36,1.18,
HKTECH,20220913,4104.6,4069.29,4111.11,4060.35,1.24,
HKTECH,20220909,3979.51,4077.32,4090.94,3968.79,3.07,
HKTECH,20220908,4031.91,3974.05,4056.71,3958.82,2.44,
HKTECH,20220907,3988.26,4014.01,4029.55,3957.09,1.78,
HKTECH,20220906,4081.27,4066.83,4101.6,4019.75,2.01,
HKTECH,20220905,4089.62,4063.91,4089.62,4025.95,1.54,
HKTECH,20220902,4204.34,4143.53,4230.45,4116.74,2.7,
HKTECH,20220901,4232.42,4204.03,4289.51,4179.99,2.56,
HKTECH,20220831,4123.27,4273.68,4354.36,4123.27,5.47,
HKTECH,20220830,4259.3,4227.43,4259.3,4123.69,3.19,
HKTECH,20220829,4249.02,4249.17,4275.15,4212.69,1.45,
HKTECH,20220826,4350.33,4302.17,4357.65,4272.64,1.99,
HKTECH,20220825,4072.77,4268.54,4279.61,4072.77,5.14,
HKTECH,20220824,4145.94,4026.45,4148.08,4012.51,3.27,
HKTECH,20220823,4151.34,4141.04,4182.1,4101.66,1.94,
HKTECH,20220822,4133.36,4152.04,4196.68,4125.73,1.69,
HKTECH,20220819,4155.54,4192.31,4242.34,4154.62,2.09,
HKTECH,20220818,4249.91,4192.64,4249.91,4165.24,2.0,
HKTECH,20220817,4262.89,4238.9,4281.12,4186.66,2.24,
HKTECH,20220816,4339.33,4221.03,4352.06,4160.45,4.45,
HKTECH,20220815,4310.36,4308.31,4394.62,4300.07,2.17,
HKTECH,20220812,4357.47,4350.07,4365.12,4302.65,1.44,
HKTECH,20220811,4244.46,4326.85,4326.85,4233.19,2.24,
HKTECH,20220810,4281.78,4173.77,4281.78,4130.75,3.52,
HKTECH,20220809,4326.54,4295.24,4371.16,4264.81,2.45,
HKTECH,20220808,4354.26,4335.54,4389.16,4310.69,1.78,
HKTECH,20220805,4429.22,4415.86,4429.4,4367.79,1.41,
