code,date,open,close,high,low,swing,volume
HSI,20220923,18055.59,17933.27,18165.95,17926.29,1.32,1776795.0
HSI,20220922,18080.93,18147.95,18195.09,17965.33,1.25,1729134.0
HSI,20220921,18638.85,18444.62,18638.85,18434.65,1.09,1629375.0
HSI,20220920,18700.68,18781.42,18861.47,18685.46,0.95,1478169.0
HSI,20220919,18695.35,18565.97,18697.09,18494.54,1.08,1745749.0
HSI,20220916,18732.44,18761.69,18905.28,18678.22,1.2,2793919.0
HSI,20220915,18833.9,18930.38,19013.03,18833.9,0.95,1797328.0
HSI,20220914,18933.3,18847.1,18989.22,18797.79,0.99,1731977.0
HSI,20220913,19404.64,19326.86,19492.06,19296.25,1.01,1787223.0
HSI,20220909,18893.65,19362.25,19417.56,18893.65,2.78,1994834.0
HSI,20220908,19043.84,18854.62,19075.74,18803.76,1.43,1718132.0
HSI,20220907,18915.87,19044.3,19068.9,18818.78,1.3,1839593.0
HSI,20220906,19261.7,19202.73,19358.02,19107.6,1.3,1716319.0
HSI,20220905,19299.09,19225.7,19299.09,19064.79,1.2,2181085.0
HSI,20220902,19572.47,19452.09,19630.8,19342.49,1.47,2095561.0
HSI,20220901,19761.72,19597.31,19839.51,19532.86,1.54,2000259.0
HSI,20220831,19589.85,19954.39,20173.02,19564.84,3.05,2783305.0
HSI,20220830,20062.73,19949.03,20062.73,19645.57,2.08,1658925.0
HSI,20220829,19960.29,20023.22,20073.94,19889.67,0.91,1595205.0
HSI,20220826,20138.69,20170.04,20185.15,20050.97,0.67,1868938.0
HSI,20220825,19418.46,19968.38,19990.31,19418.46,2.97,1684299.0
HSI,20220824,19542.24,19268.74,19542.24,19189.54,1.81,1997568.0
HSI,20220823,19644.23,19503.25,19701.55,19377.09,1.65,1847479.0
HSI,20220822,19572.42,19656.98,19825.93,19564.19,1.32,1596112.0
HSI,20220819,19656.8,19773.03,19898.18,19656.8,1.22,1399802.0
HSI,20220818,19991.94,19763.91,19991.94,19675.46,1.59,1586625.0
HSI,20220817,19995.77,19922.45,20069.85,19800.58,1.36,1411798.0
HSI,20220816,20107.14,19830.52,20173.4,19662.61,2.55,1947793.0
HSI,20220815,20038.48,20040.86,20260.66,19984.04,1.37,1393358.0
HSI,20220812,20158.29,20175.62,20208.02,20011.38,0.98,1567855.0
HSI,20220811,19840.57,20082.43,20082.43,19789.96,1.49,1600823.0
HSI,20220810,19956.51,19610.84,19956.51,19469.11,2.44,1730318.0
HSI,20220809,20039.3,20003.44,20250.87,19856.23,1.97,1497208.0
HSI,20220808,20065.35,20045.77,20171.89,19954.04,1.08,1376942.0
HSI,20220805,20283.59,20201.94,20283.59,20096.54,0.93,1635424.0
HSI,20220804,20011.25,20174.04,20216.58,19995.46,1.12,1924409.0
HSI,20220803,19865.69,19767.09,19921.91,19685.48,1.2,1789743.0
HSI,20220802,19943.16,19689.21,19943.16,19515.54,2.12,2291212.0
HSI,20220801,20026.6,20165.84,20251.43,19883.92,1.82,1970707.0
HSI,20220729,20647.45,20156.51,20647.45,20050.05,2.9,2181726.0
HSI,20220728,20705.46,20622.68,20772.63,20533.42,1.16,1965166.0
HSI,20220727,20684.48,20670.04,20770.1,20572.42,0.95,1729859.0
HSI,20220726,20676.68,20905.88,20952.45,20631.82,1.56,1701166.0
HSI,20220725,20516.34,20562.94,20595.09,20353.68,1.17,1377193.0
HSI,20220722,20717.47,20609.14,20788.46,20513.8,1.33,1327660.0
HSI,20220721,20811.6,20574.63,20827.61,20527.35,1.44,1760412.0
HSI,20220720,20968.42,20890.22,21111.78,20884.92,1.1,1405277.0
HSI,20220719,20719.2,20661.06,20758.71,20549.44,1.0,1287501.0
HSI,20220718,20479.58,20846.18,20866.33,20294.14,2.82,2053609.0
HSI,20220715,20522.11,20297.72,20656.96,20215.97,2.13,2526024.0
HSI,20220714,20818.27,20751.21,20888.8,20554.15,1.61,2371205.0
HSI,20220713,20911.53,20797.95,21040.34,20751.48,1.39,2056959.0
HSI,20220712,20905.07,20844.74,21084.09,20779.59,1.44,1745241.0
HSI,20220711,21470.77,21124.2,21470.77,21001.63,2.16,1693929.0
HSI,20220708,21961.75,21725.78,21961.75,21614.65,1.6,1565420.0
HSI,20220707,21352.7,21643.58,21643.58,21200.93,2.05,1744595.0
HSI,20220706,21777.64,21586.66,21833.4,21286.66,2.5,2886434.0
HSI,20220705,22053.16,21853.07,22198.51,21799.19,1.83,2143810.0
HSI,20220704,21690.68,21830.35,21886.35,21458.63,1.96,2203708.0
HSI,20220630,21917.45,21859.79,22111.91,21719.17,1.79,2822730.0
HSI,20220629,22125.61,21996.89,22289.07,21844.05,1.99,2834487.0
HSI,20220628,22144.63,22418.97,22449.31,21952.44,2.24,2873985.0
HSI,20220627,21976.8,22229.52,22414.43,21976.8,2.01,2994729.0
HSI,20220624,21450.68,21719.06,21762.67,21408.66,1.66,2410823.0
HSI,20220623,21157.58,21273.87,21443.59,21010.89,2.06,2007274.0
HSI,20220622,21469.74,21008.34,21519.58,21008.34,2.37,2470631.0
HSI,20220621,21264.98,21559.59,21564.87,21175.95,1.84,2133397.0
HSI,20220620,20948.8,21163.91,21175.98,20839.02,1.6,2085206.0
HSI,20220617,20716.74,21075.0,21145.94,20697.17,2.15,3097480.0
HSI,20220616,21515.64,20845.43,21545.84,20697.41,3.98,2341100.0
HSI,20220615,21111.32,21308.21,21431.07,21111.32,1.52,2301321.0
