code,date,open,close,high,low,swing,volume
N225,20220922,27053.58,27153.83,27197.07,26955.18,0.89,621750.0
N225,20220921,27440.84,27313.13,27467.34,27297.5,0.61,654550.0
N225,20220920,27788.68,27688.42,27907.45,27627.86,1.01,599690.0
N225,20220916,27631.39,27567.65,27654.99,27525.68,0.46,815880.0
N225,20220915,27873.96,27875.91,27946.2,27801.44,0.52,4866500.0
N225,20220914,28132.7,27818.62,28141.92,27795.64,1.21,708860.0
N225,20220913,28556.21,28614.63,28659.76,28530.36,0.45,516680.0
N225,20220912,28483.59,28542.11,28612.89,28438.37,0.62,5049400.0
N225,20220909,28204.71,28214.75,28286.02,28091.38,0.69,7404203.0
N225,20220908,27732.68,28065.28,28083.79,27718.3,1.33,7515494.0
N225,20220907,27546.01,27430.3,27546.01,27268.7,1.0,6935500.0
N225,20220906,27650.15,27626.51,27813.78,27557.99,0.93,463050.0
N225,20220905,27567.29,27619.61,27673.44,27511.68,0.59,470660.0
N225,20220902,27755.6,27650.84,27772.37,27570.74,0.73,587670.0
N225,20220901,27797.0,27661.47,27832.78,27589.7,0.87,688530.0
N225,20220831,27928.09,28091.53,28104.8,27906.17,0.7,861590.0
N225,20220830,28086.72,28195.58,28233.8,27944.25,1.04,606580.0
N225,20220829,28161.06,27878.96,28179.09,27788.12,1.37,640890.0
N225,20220826,28639.47,28641.38,28792.93,28608.7,0.65,491240.0
N225,20220825,28415.11,28479.01,28534.71,28357.03,0.63,536980.0
N225,20220824,28481.34,28313.47,28515.61,28282.21,0.82,620050.0
N225,20220823,28580.2,28452.75,28580.2,28395.3,0.64,556930.0
N225,20220822,28654.07,28794.5,28828.21,28586.36,0.84,491540.0
N225,20220819,29095.71,28930.33,29150.8,28913.05,0.82,484340.0
N225,20220818,28957.4,28942.14,28999.64,28846.52,0.52,4741200.0
N225,20220817,28952.65,29222.77,29222.77,28944.71,0.96,665740.0
N225,20220816,28829.53,28868.91,28928.16,28752.88,0.61,501280.0
N225,20220815,28623.78,28871.78,28897.07,28623.78,0.96,536810.0
N225,20220812,28251.74,28546.98,28546.98,28207.86,1.22,896360.0
N225,20220810,27955.11,27819.33,27964.96,27729.46,0.84,599040.0
N225,20220809,28236.84,27999.96,28257.34,27966.91,1.03,648870.0
N225,20220808,28050.09,28249.24,28279.12,28047.08,0.82,661240.0
N225,20220805,27915.06,28175.87,28190.04,27910.22,1.0,712530.0
N225,20220804,27930.94,27932.2,28005.59,27870.05,0.49,831010.0
N225,20220803,27673.0,27741.9,27837.63,27634.65,0.74,723330.0
N225,20220802,27812.48,27594.73,27830.58,27530.6,1.07,718210.0
N225,20220801,27813.82,27993.35,27993.35,27751.59,0.87,719460.0
N225,20220729,27915.22,27801.64,28001.8,27725.24,0.99,793450.0
N225,20220728,27909.15,27815.48,28015.68,27651.99,1.31,834640.0
N225,20220727,27575.16,27715.75,27772.97,27525.09,0.9,510690.0
N225,20220726,27682.2,27655.21,27715.78,27538.39,0.64,500280.0
N225,20220725,27697.77,27699.25,27848.59,27663.16,0.66,465150.0
N225,20220722,27773.14,27914.66,27952.25,27701.25,0.9,6013600.0
N225,20220721,27627.88,27803.0,27803.0,27549.56,0.92,5670200.0
N225,20220720,27295.95,27680.26,27692.85,27295.95,1.47,666580.0
N225,20220719,27003.83,26961.68,27043.58,26791.71,0.94,594400.0
N225,20220715,26736.08,26788.47,26857.77,26571.38,1.07,655430.0
N225,20220714,26357.32,26643.39,26713.07,26312.79,1.51,606310.0
N225,20220713,26403.79,26478.77,26543.07,26389.1,0.58,541270.0
N225,20220712,26701.0,26336.66,26718.67,26278.28,1.64,644290.0
N225,20220711,26892.73,26812.3,27062.17,26710.59,1.33,684830.0
N225,20220708,26623.85,26517.19,26881.75,26510.53,1.4,892520.0
N225,20220707,26280.94,26490.53,26533.65,26136.99,1.52,807010.0
N225,20220706,26190.4,26107.65,26298.96,26051.19,0.94,897460.0
N225,20220705,26386.23,26423.47,26532.51,26294.84,0.91,6279500.0
N225,20220704,26086.78,26153.81,26258.86,25945.83,1.21,687020.0
N225,20220701,26460.71,25935.62,26531.24,25841.75,2.61,816710.0
N225,20220630,26753.28,26393.04,26753.28,26324.31,1.6,8610702.0
N225,20220629,26814.23,26804.6,26858.68,26687.47,0.63,1011200.0
N225,20220628,26795.68,27049.47,27062.31,26789.5,1.02,7335900.0
N225,20220627,26741.8,26871.27,26938.43,26665.44,1.03,657730.0
N225,20220624,26228.42,26491.97,26519.16,26148.56,1.42,726410.0
N225,20220623,26134.89,26171.25,26401.97,26039.57,1.39,656830.0
N225,20220622,26441.72,26149.55,26462.83,26149.17,1.2,663690.0
N225,20220621,26070.92,26246.31,26418.84,25972.28,1.73,653590.0
N225,20220620,26156.62,25771.22,26156.62,25520.23,2.45,721760.0
N225,20220617,25988.2,25963.0,26072.35,25720.8,1.33,1152110.0
N225,20220616,26715.52,26431.2,26947.7,26431.2,1.96,678260.0
N225,20220615,26625.68,26326.16,26638.76,26321.68,1.19,727410.0
N225,20220614,26555.75,26629.86,26657.92,26357.9,1.11,750140.0
N225,20220613,27369.66,26987.44,27389.3,26948.22,1.59,7135800.0
N225,20220610,27996.35,27824.29,28044.45,27795.17,0.88,797490.0
N225,20220609,28189.35,28246.53,28389.75,28189.35,0.71,803030.0
N225,20220608,28100.26,28234.29,28234.29,28089.78,0.52,786790.0
N225,20220607,27984.79,27943.95,28094.73,27863.38,0.83,682510.0
N225,20220606,27549.64,27915.89,27979.54,27523.95,1.64,567640.0
N225,20220603,27660.62,27761.57,27776.33,27614.86,0.59,6367700.0
N225,20220602,27340.52,27413.88,27450.47,27251.24,0.73,636430.0
N225,20220601,27295.63,27457.89,27482.31,27295.42,0.69,757600.0
N225,20220531,27318.09,27279.8,27463.33,27250.7,0.78,14178690.0
N225,20220530,27092.82,27369.43,27401.24,27057.2,1.28,969570.0
N225,20220527,26947.8,26781.68,26996.7,26731.6,1.0,693120.0
N225,20220526,26685.02,26604.84,26898.75,26597.97,1.13,645120.0
N225,20220525,26711.53,26677.8,26795.89,26578.03,0.81,723400.0
N225,20220524,27005.43,26748.14,27005.43,26736.01,1.0,674410.0
N225,20220523,26991.42,27001.52,27047.47,26832.65,0.8,650270.0
N225,20220520,26448.23,26739.03,26769.2,26426.99,1.3,763400.0
N225,20220519,26435.32,26402.84,26458.85,26150.09,1.15,745040.0
N225,20220518,26826.82,26911.2,27053.18,26741.34,1.17,7467100.0
N225,20220517,26555.23,26659.75,26709.26,26440.62,1.01,789280.0
N225,20220516,26753.37,26547.05,26836.96,26438.61,1.51,869870.0
N225,20220513,25918.8,26427.65,26479.93,25904.4,2.24,10380818.0
N225,20220512,25945.04,25748.72,26028.36,25688.11,1.3,911680.0
N225,20220511,26045.38,26213.64,26290.62,26003.26,1.1,858640.0
N225,20220510,26149.06,26167.1,26246.63,25773.83,1.8,807620.0
N225,20220509,26705.32,26319.34,26732.61,26309.22,1.57,7953100.0
N225,20220506,26784.29,27003.56,27072.59,26543.29,1.97,9849800.0
N225,20220502,26851.1,26818.53,26964.59,26610.86,1.32,745250.0
N225,20220428,26430.28,26847.9,26876.95,26348.36,2.0,867030.0
N225,20220427,26313.14,26386.63,26406.62,26051.04,1.33,973000.0
N225,20220426,26743.21,26700.11,26808.99,26592.99,0.81,643270.0
N225,20220425,26692.48,26590.78,26764.48,26487.84,1.02,626810.0
N225,20220422,27197.8,27105.26,27205.83,26904.38,1.09,584650.0
N225,20220421,27259.14,27553.06,27580.64,27252.83,1.2,623400.0
N225,20220420,27210.79,27217.85,27389.84,27066.18,1.2,723360.0
N225,20220419,27096.49,26985.09,27100.59,26777.71,1.2,605060.0
N225,20220418,26831.45,26799.71,26851.8,26571.38,1.04,483490.0
N225,20220415,26932.48,27093.19,27203.77,26784.92,1.54,515460.0
N225,20220414,26925.64,27172.0,27200.89,26890.68,1.16,618410.0
N225,20220413,26436.06,26843.49,26885.87,26429.47,1.73,716290.0
N225,20220412,26606.87,26334.98,26674.86,26304.08,1.38,753170.0
N225,20220411,26877.6,26821.52,27004.5,26720.46,1.05,734510.0
N225,20220408,27097.05,26985.8,27185.23,26764.36,1.57,780640.0
N225,20220407,27032.42,26888.57,27042.49,26801.79,0.88,711290.0
N225,20220406,27533.88,27350.3,27549.67,27214.61,1.21,686520.0
N225,20220405,27965.94,27787.98,27965.94,27662.28,1.09,642990.0
N225,20220404,27685.65,27736.47,27754.24,27578.81,0.63,503450.0
N225,20220401,27624.11,27665.98,27738.31,27399.48,1.22,667530.0
N225,20220331,27809.97,27821.43,28101.68,27763.96,1.2,786420.0
N225,20220330,28250.8,28027.25,28281.45,27736.27,1.93,834480.0
N225,20220329,28173.43,28252.42,28252.42,28063.92,0.67,777000.0
N225,20220328,28084.08,27943.89,28084.08,27812.67,0.96,652990.0
N225,20220325,28338.81,28149.84,28338.81,27946.79,1.39,674020.0
N225,20220324,27693.77,28110.39,28110.39,27624.62,1.73,716040.0
N225,20220323,27606.79,28040.16,28056.2,27604.37,1.66,882000.0
N225,20220322,27091.32,27224.11,27284.47,27076.33,0.78,979850.0
N225,20220318,26649.5,26827.43,26862.43,26592.98,1.01,1081820.0
N225,20220317,26170.38,26652.89,26702.94,26152.89,2.14,896410.0
N225,20220316,25574.9,25762.01,25824.94,25470.46,1.4,823420.0
N225,20220315,25228.53,25346.48,25441.67,25219.13,0.88,732020.0
N225,20220314,25338.64,25307.85,25631.01,25299.64,1.32,725820.0
N225,20220311,25495.03,25162.78,25503.65,24966.5,2.09,895950.0
N225,20220310,25108.47,25690.4,25720.31,25099.85,2.51,952290.0
N225,20220309,24876.49,24717.53,25084.08,24681.74,1.62,915250.0
N225,20220308,24974.35,24790.95,25291.33,24767.33,2.08,1147420.0
N225,20220307,25634.09,25221.41,25640.41,25006.26,2.44,1053760.0
N225,20220304,26421.85,25985.47,26421.85,25774.28,2.44,935290.0
N225,20220303,26628.87,26577.27,26704.85,26496.72,0.79,747890.0
N225,20220302,26532.2,26393.03,26585.3,26313.72,1.01,8771071.0
N225,20220301,26836.74,26844.72,27013.26,26821.75,0.72,740230.0
N225,20220228,26457.52,26526.82,26644.56,26262.63,1.44,910550.0
N225,20220225,26213.2,26476.5,26481.6,26160.19,1.24,775790.0
N225,20220224,26281.35,25970.82,26357.58,25775.64,2.2,935360.0
N225,20220222,26515.45,26449.61,26550.14,26243.73,1.14,673100.0
N225,20220221,26771.58,26910.87,26998.47,26549.0,1.66,529030.0
N225,20220218,26895.16,27122.07,27216.16,26792.54,1.56,635330.0
N225,20220217,27431.42,27232.87,27438.74,27080.92,1.3,677820.0
N225,20220216,27269.05,27460.4,27486.09,27227.24,0.96,641240.0
N225,20220215,27183.56,26865.19,27205.2,26724.91,1.77,761720.0
N225,20220214,27305.92,27079.59,27325.5,26947.65,1.36,797740.0
N225,20220210,27818.1,27696.08,27880.7,27575.07,1.11,828740.0
N225,20220209,27488.65,27579.87,27633.1,27405.88,0.83,934770.0
N225,20220208,27318.3,27284.52,27461.33,27280.25,0.66,766020.0
N225,20220207,27327.63,27248.87,27369.68,27085.32,1.04,770960.0
N225,20220204,27095.9,27439.99,27455.98,27075.99,1.39,796050.0
N225,20220203,27330.96,27241.31,27357.33,27165.93,0.7,810740.0
N225,20220202,27302.99,27533.6,27564.62,27289.16,1.02,852100.0
N225,20220201,27167.14,27078.48,27410.79,27016.71,1.46,811310.0
N225,20220131,26690.6,27001.98,27134.57,26541.65,2.22,782870.0
N225,20220128,26429.85,26717.34,26764.85,26289.69,1.82,759860.0
N225,20220127,27139.88,26170.3,27193.59,26044.52,4.25,887380.0
N225,20220125,27466.82,27131.34,27493.75,26890.94,2.19,769680.0
N225,20220124,27258.45,27588.37,27627.6,27203.33,1.54,610180.0
N225,20220121,27404.36,27522.26,27586.42,27129.61,1.64,727490.0
N225,20220120,27401.43,27772.93,27882.53,27217.59,2.42,740200.0
N225,20220119,27928.89,27467.23,27958.17,27314.41,2.28,842980.0
N225,20220118,28451.34,28257.25,28690.34,28129.66,1.98,713130.0
N225,20220117,28332.72,28333.52,28449.99,28274.18,0.63,544800.0
N225,20220114,28246.99,28124.28,28252.96,27889.21,1.28,820670.0
N225,20220113,28658.22,28489.13,28660.45,28444.96,0.75,698810.0
N225,20220112,28449.53,28765.66,28814.31,28427.6,1.37,725477.82
N225,20220111,28380.9,28222.48,28473.47,28089.49,1.35,737060.0
N225,20220107,28711.53,28478.56,28813.09,28293.7,1.82,751710.0
N225,20220106,29136.75,28487.87,29158.95,28487.87,2.29,715910.0
