Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2006-12-29,40.06,40.25,39.3499,39.46,4197000.0,0.0,1.0,40.06,40.25,39.3499,39.46,4197000.0
2006-12-28,40.38,40.63,39.92,40.21,4545500.0,0.0,1.0,40.38,40.63,39.92,40.21,4545500.0
2006-12-27,39.86,40.47,39.8,40.29,3536500.0,0.0,1.0,39.86,40.47,39.8,40.29,3536500.0
2006-12-26,40.13,40.13,39.42,39.8,4473600.0,0.0,1.0,40.13,40.13,39.42,39.8,4473600.0
2006-12-22,39.98,40.51,39.91,40.24,5585100.0,0.0,1.0,39.98,40.51,39.91,40.24,5585100.0
2006-12-21,39.87,40.34,39.65,39.89,6550200.0,0.0,1.0,39.87,40.34,39.65,39.89,6550200.0
2006-12-20,39.43,40.3,39.39,40.01,7784300.0,0.0,1.0,39.43,40.3,39.39,40.01,7784300.0
2006-12-19,38.78,39.72,38.23,39.42,7520000.0,0.0,1.0,38.78,39.72,38.23,39.42,7520000.0
2006-12-18,40.2,40.64,38.86,39.26,6486700.0,0.0,1.0,40.2,40.64,38.86,39.26,6486700.0
2006-12-15,39.38,40.19,39.23,40.01,8153500.0,0.0,1.0,39.38,40.19,39.23,40.01,8153500.0
2006-12-14,38.74,39.54,38.6,39.02,6296100.0,0.0,1.0,38.74,39.54,38.6,39.02,6296100.0
2006-12-13,38.61,39.19,38.19,38.5,4677800.0,0.0,1.0,38.61,39.19,38.19,38.5,4677800.0
2006-12-12,38.44,38.94,38.15,38.46,5083200.0,0.0,1.0,38.44,38.94,38.15,38.46,5083200.0
2006-12-11,38.22,39.15,38.08,38.69,4848600.0,0.0,1.0,38.22,39.15,38.08,38.69,4848600.0
2006-12-08,37.92,38.95,37.7,38.46,5139700.0,0.0,1.0,37.92,38.95,37.7,38.46,5139700.0
2006-12-07,38.93,39.09,38.05,38.12,6621500.0,0.0,1.0,38.93,39.09,38.05,38.12,6621500.0
2006-12-06,38.77,39.58,38.64,38.9,5776900.0,0.0,1.0,38.77,39.58,38.64,38.9,5776900.0
2006-12-05,39.13,39.3,38.72,38.98,5737700.0,0.0,1.0,39.13,39.3,38.72,38.98,5737700.0
2006-12-04,39.31,39.48,38.87,39.1,9720700.0,0.0,1.0,39.31,39.48,38.87,39.1,9720700.0
2006-12-01,40.26,40.54,39.09,39.41,8306100.0,0.0,1.0,40.26,40.54,39.09,39.41,8306100.0
2006-11-30,40.42,40.64,39.85,40.34,6346300.0,0.0,1.0,40.42,40.64,39.85,40.34,6346300.0
2006-11-29,40.48,41.1,40.0,40.63,7854600.0,0.0,1.0,40.48,41.1,40.0,40.63,7854600.0
2006-11-28,40.75,41.07,40.3,40.92,7099300.0,0.0,1.0,40.75,41.07,40.3,40.92,7099300.0
2006-11-27,42.18,42.8,40.72,40.85,8972800.0,0.0,1.0,42.18,42.8,40.72,40.85,8972800.0
2006-11-24,42.56,42.94,42.31,42.41,2241300.0,0.0,1.0,42.56,42.94,42.31,42.41,2241300.0
2006-11-22,42.5,42.98,42.18,42.96,4535600.0,0.0,1.0,42.5,42.98,42.18,42.96,4535600.0
2006-11-21,42.55,43.25,42.12,42.54,6984400.0,0.0,1.0,42.55,43.25,42.12,42.54,6984400.0
2006-11-20,42.35,42.55,41.94,42.44,5796400.0,0.0,1.0,42.35,42.55,41.94,42.44,5796400.0
2006-11-17,42.55,42.67,42.22,42.55,6530200.0,0.0,1.0,42.55,42.67,42.22,42.55,6530200.0
2006-11-16,42.445,42.95,42.4,42.84,11000800.0,0.0,1.0,42.445,42.95,42.4,42.84,11000800.0
2006-11-15,41.5,43.1,41.5,42.6,13556700.0,0.0,1.0,41.5,43.1,41.5,42.6,13556700.0
2006-11-14,40.11,41.67,39.62,41.51,10951300.0,0.0,1.0,40.11,41.67,39.62,41.51,10951300.0
2006-11-13,39.23,40.001,39.13,39.99,6944300.0,0.0,1.0,39.23,40.001,39.13,39.99,6944300.0
2006-11-10,38.79,39.362,38.76,39.26,4495100.0,0.0,1.0,38.79,39.362,38.76,39.26,4495100.0
2006-11-09,39.5,39.77,38.81,38.84,5807100.0,0.0,1.0,39.5,39.77,38.81,38.84,5807100.0
2006-11-08,38.58,39.48,38.46,39.47,8159900.0,0.0,1.0,38.58,39.48,38.46,39.47,8159900.0
2006-11-07,38.2,39.0,38.04,38.77,7745100.0,0.0,1.0,38.2,39.0,38.04,38.77,7745100.0
2006-11-06,37.64,38.35,37.53,38.21,4540900.0,0.0,1.0,37.64,38.35,37.53,38.21,4540900.0
2006-11-03,37.61,37.71,36.87,37.46,5124100.0,0.0,1.0,37.61,37.71,36.87,37.46,5124100.0
2006-11-02,37.33,37.77,37.11,37.45,5447300.0,0.0,1.0,37.33,37.77,37.11,37.45,5447300.0
2006-11-01,38.125,38.2,37.46,37.56,6668900.0,0.0,1.0,38.125,38.2,37.46,37.56,6668900.0
2006-10-31,38.22,38.59,37.8,38.09,6210400.0,0.0,1.0,38.22,38.59,37.8,38.09,6210400.0
2006-10-30,38.05,38.34,37.68,38.15,6882400.0,0.0,1.0,38.05,38.34,37.68,38.15,6882400.0
2006-10-27,38.15,38.38,37.664,38.24,9953400.0,0.0,1.0,38.15,38.38,37.664,38.24,9953400.0
2006-10-26,37.25,38.49,37.18,38.3,17073300.0,0.0,1.0,37.25,38.49,37.18,38.3,17073300.0
2006-10-25,37.3,37.98,36.04,37.68,46522500.0,0.0,1.0,37.3,37.98,36.04,37.68,46522500.0
2006-10-24,32.87,38.0,32.86,33.63,23155300.0,0.0,1.0,32.87,38.0,32.86,33.63,23155300.0
2006-10-23,32.47,32.91,32.14,32.88,8059300.0,0.0,1.0,32.47,32.91,32.14,32.88,8059300.0
2006-10-20,32.69,32.69,32.21,32.57,5839400.0,0.0,1.0,32.69,32.69,32.21,32.57,5839400.0
2006-10-19,32.17,32.84,32.1,32.54,4037600.0,0.0,1.0,32.17,32.84,32.1,32.54,4037600.0
2006-10-18,32.57,32.78,32.0,32.31,5349300.0,0.0,1.0,32.57,32.78,32.0,32.31,5349300.0
2006-10-17,32.2,32.61,31.75,32.47,6635700.0,0.0,1.0,32.2,32.61,31.75,32.47,6635700.0
2006-10-16,32.85,33.2,32.55,32.6,6769400.0,0.0,1.0,32.85,33.2,32.55,32.6,6769400.0
2006-10-13,33.35,33.58,33.08,33.32,4067300.0,0.0,1.0,33.35,33.58,33.08,33.32,4067300.0
2006-10-12,33.1,33.71,32.63,33.55,5989700.0,0.0,1.0,33.1,33.71,32.63,33.55,5989700.0
2006-10-11,32.61,33.15,32.27,32.91,6728500.0,0.0,1.0,32.61,33.15,32.27,32.91,6728500.0
2006-10-10,33.27,33.58,32.49,32.62,6333400.0,0.0,1.0,33.27,33.58,32.49,32.62,6333400.0
2006-10-09,32.49,33.48,32.451,33.38,5289200.0,0.0,1.0,32.49,33.48,32.451,33.38,5289200.0
2006-10-06,33.15,33.218,32.5,32.59,4219200.0,0.0,1.0,33.15,33.218,32.5,32.59,4219200.0
2006-10-05,32.68,33.4,32.4,33.32,8455900.0,0.0,1.0,32.68,33.4,32.4,33.32,8455900.0
2006-10-04,31.75,32.83,31.3,32.76,7064800.0,0.0,1.0,31.75,32.83,31.3,32.76,7064800.0
2006-10-03,30.9,32.0,30.58,31.86,8034000.0,0.0,1.0,30.9,32.0,30.58,31.86,8034000.0
2006-10-02,31.98,32.03,30.83,30.87,6815000.0,0.0,1.0,31.98,32.03,30.83,30.87,6815000.0
2006-09-29,32.01,32.34,31.54,32.12,5227200.0,0.0,1.0,32.01,32.34,31.54,32.12,5227200.0
2006-09-28,32.27,32.33,31.22,31.84,7499400.0,0.0,1.0,32.27,32.33,31.22,31.84,7499400.0
2006-09-27,32.28,32.46,31.93,32.33,5469800.0,0.0,1.0,32.28,32.46,31.93,32.33,5469800.0
2006-09-26,31.89,32.59,31.8,32.5,6601100.0,0.0,1.0,31.89,32.59,31.8,32.5,6601100.0
2006-09-25,31.05,31.97,30.74,31.79,6619600.0,0.0,1.0,31.05,31.97,30.74,31.79,6619600.0
2006-09-22,30.22,30.95,29.9,30.84,7249000.0,0.0,1.0,30.22,30.95,29.9,30.84,7249000.0
2006-09-21,32.24,32.56,30.07,30.22,15553700.0,0.0,1.0,32.24,32.56,30.07,30.22,15553700.0
2006-09-20,31.81,32.81,31.8,32.12,8548900.0,0.0,1.0,31.81,32.81,31.8,32.12,8548900.0
2006-09-19,32.24,32.3,30.82,31.58,8572000.0,0.0,1.0,32.24,32.3,30.82,31.58,8572000.0
