Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2007-12-31,93.81,94.37,92.45,92.64,5755200.0,0.0,1.0,93.81,94.37,92.45,92.64,5755200.0
2007-12-28,95.27,95.9,92.1,94.45,7587900.0,0.0,1.0,95.27,95.9,92.1,94.45,7587900.0
2007-12-27,92.67,95.29,92.5,94.25,7113700.0,0.0,1.0,92.67,95.29,92.5,94.25,7113700.0
2007-12-26,91.48,93.94,90.5,92.85,5442200.0,0.0,1.0,91.48,93.94,90.5,92.85,5442200.0
2007-12-24,91.05,91.56,90.3,91.01,2017100.0,0.0,1.0,91.05,91.56,90.3,91.01,2017100.0
2007-12-21,91.38,92.28,90.39,91.26,6604900.0,0.0,1.0,91.38,92.28,90.39,91.26,6604900.0
2007-12-20,90.14,90.75,89.09,90.58,5879800.0,0.0,1.0,90.14,90.75,89.09,90.58,5879800.0
2007-12-19,86.94,89.95,86.83,89.38,7616200.0,0.0,1.0,86.94,89.95,86.83,89.38,7616200.0
2007-12-18,85.83,87.46,83.86,86.89,7266100.0,0.0,1.0,85.83,87.46,83.86,86.89,7266100.0
2007-12-17,89.01,89.06,84.99,85.09,7697700.0,0.0,1.0,89.01,89.06,84.99,85.09,7697700.0
2007-12-14,90.77,91.24,88.93,89.08,6002300.0,0.0,1.0,90.77,91.24,88.93,89.08,6002300.0
2007-12-13,91.05,93.0,90.63,92.4,6046300.0,0.0,1.0,91.05,93.0,90.63,92.4,6046300.0
2007-12-12,92.84,93.75,89.32,91.28,7228100.0,0.0,1.0,92.84,93.75,89.32,91.28,7228100.0
2007-12-11,93.1,95.94,90.75,90.75,10269600.0,0.0,1.0,93.1,95.94,90.75,90.75,10269600.0
2007-12-10,94.31,94.35,92.3,93.02,5180600.0,0.0,1.0,94.31,94.35,92.3,93.02,5180600.0
2007-12-07,94.56,94.68,92.91,94.31,3934800.0,0.0,1.0,94.56,94.68,92.91,94.31,3934800.0
2007-12-06,93.28,95.0,92.83,94.21,5472700.0,0.0,1.0,93.28,95.0,92.83,94.21,5472700.0
2007-12-05,94.99,94.99,91.98,93.19,6608600.0,0.0,1.0,94.99,94.99,91.98,93.19,6608600.0
2007-12-04,90.04,94.56,90.04,94.41,7337900.0,0.0,1.0,90.04,94.56,90.04,94.41,7337900.0
2007-12-03,90.03,92.25,89.77,90.91,6000500.0,0.0,1.0,90.03,92.25,89.77,90.91,6000500.0
2007-11-30,90.56,91.08,88.3148,90.56,6881600.0,0.0,1.0,90.56,91.08,88.3148,90.56,6881600.0
2007-11-29,89.89,91.47,88.68,89.15,6977100.0,0.0,1.0,89.89,91.47,88.68,89.15,6977100.0
2007-11-28,87.55,90.57,86.75,90.3,11403400.0,0.0,1.0,87.55,90.57,86.75,90.3,11403400.0
2007-11-27,82.92,85.65,82.21,85.59,8634200.0,0.0,1.0,82.92,85.65,82.21,85.59,8634200.0
2007-11-26,82.3,84.49,81.14,81.3035,8610500.0,0.0,1.0,82.3,84.49,81.14,81.3035,8610500.0
2007-11-23,80.11,81.45,78.98,81.43,2780900.0,0.0,1.0,80.11,81.45,78.98,81.43,2780900.0
2007-11-21,79.24,80.86,78.65,79.76,6678300.0,0.0,1.0,79.24,80.86,78.65,79.76,6678300.0
2007-11-20,79.86,82.0,78.31,80.39,11610000.0,0.0,1.0,79.86,82.0,78.31,80.39,11610000.0
2007-11-19,78.83,79.75,77.94,79.18,8649800.0,0.0,1.0,78.83,79.75,77.94,79.18,8649800.0
2007-11-16,77.01,78.99,76.63,78.6,7114100.0,0.0,1.0,77.01,78.99,76.63,78.6,7114100.0
2007-11-15,79.43,79.73,76.7,77.85,7831500.0,0.0,1.0,79.43,79.73,76.7,77.85,7831500.0
2007-11-14,80.4,81.15,78.15,78.51,8427400.0,0.0,1.0,80.4,81.15,78.15,78.51,8427400.0
2007-11-13,77.91,80.05,77.8,79.86,9496300.0,0.0,1.0,77.91,80.05,77.8,79.86,9496300.0
2007-11-12,78.26,80.09,76.5,77.0,9396900.0,0.0,1.0,78.26,80.09,76.5,77.0,9396900.0
2007-11-09,82.42,82.42,78.84,78.89,11620200.0,0.0,1.0,82.42,82.42,78.84,78.89,11620200.0
2007-11-08,86.8,86.96,81.4,83.58,11803200.0,0.0,1.0,86.8,86.96,81.4,83.58,11803200.0
2007-11-07,86.41,89.16,86.16,87.0438,8397800.0,0.0,1.0,86.41,89.16,86.16,87.0438,8397800.0
2007-11-06,84.6,87.5,84.37,87.27,7934000.0,0.0,1.0,84.6,87.5,84.37,87.27,7934000.0
2007-11-05,84.83,86.02,82.76,84.37,7453100.0,0.0,1.0,84.83,86.02,82.76,84.37,7453100.0
2007-11-02,88.0,88.12,83.5,85.98,10230500.0,0.0,1.0,88.0,88.12,83.5,85.98,10230500.0
2007-11-01,87.75,89.58,86.5,87.65,8265700.0,0.0,1.0,87.75,89.58,86.5,87.65,8265700.0
2007-10-31,88.05,89.6,87.0,89.15,7044800.0,0.0,1.0,88.05,89.6,87.0,89.15,7044800.0
2007-10-30,89.67,90.65,88.05,88.24,5405400.0,0.0,1.0,89.67,90.65,88.05,88.24,5405400.0
2007-10-29,90.41,91.47,89.48,90.1,7097200.0,0.0,1.0,90.41,91.47,89.48,90.1,7097200.0
2007-10-26,89.0,90.88,87.7,90.0,8826200.0,0.0,1.0,89.0,90.88,87.7,90.0,8826200.0
2007-10-25,88.23,89.5,86.32,88.21,11630900.0,0.0,1.0,88.23,89.5,86.32,88.21,11630900.0
2007-10-24,90.87,90.88,83.27,88.73,41617400.0,0.0,1.0,90.87,90.88,83.27,88.73,41617400.0
2007-10-23,95.28,101.09,94.21,100.82,41761800.0,0.0,1.0,95.28,101.09,94.21,100.82,41761800.0
2007-10-22,89.25,91.69,89.02,91.29,9868400.0,0.0,1.0,89.25,91.69,89.02,91.29,9868400.0
2007-10-19,89.93,90.65,89.32,89.76,9126200.0,0.0,1.0,89.93,90.65,89.32,89.76,9126200.0
2007-10-18,89.37,90.43,89.15,89.85,5329500.0,0.0,1.0,89.37,90.43,89.15,89.85,5329500.0
2007-10-17,91.9,91.9,89.06,90.55,7678700.0,0.0,1.0,91.9,91.9,89.06,90.55,7678700.0
2007-10-16,88.69,90.05,88.5,89.53,8511500.0,0.0,1.0,88.69,90.05,88.5,89.53,8511500.0
2007-10-15,91.8,92.12,90.1,90.53,5608800.0,0.0,1.0,91.8,92.12,90.1,90.53,5608800.0
2007-10-12,89.42,92.39,88.9187,92.37,8359900.0,0.0,1.0,89.42,92.39,88.9187,92.37,8359900.0
2007-10-11,95.33,95.74,88.13,89.34,9822400.0,0.0,1.0,95.33,95.74,88.13,89.34,9822400.0
2007-10-10,95.5,95.7483,94.37,94.66,5567800.0,0.0,1.0,95.5,95.7483,94.37,94.66,5567800.0
2007-10-09,96.59,96.73,94.75,95.3237,7144600.0,0.0,1.0,96.59,96.73,94.75,95.3237,7144600.0
2007-10-08,94.22,95.85,94.0,95.85,7428400.0,0.0,1.0,94.22,95.85,94.0,95.85,7428400.0
2007-10-05,93.55,93.71,92.34,93.43,5523500.0,0.0,1.0,93.55,93.71,92.34,93.43,5523500.0
2007-10-04,92.55,92.57,91.45,92.26,3318300.0,0.0,1.0,92.55,92.57,91.45,92.26,3318300.0
2007-10-03,92.19,92.8,91.78,92.455,5052200.0,0.0,1.0,92.19,92.8,91.78,92.455,5052200.0
2007-10-02,93.865,93.9,91.4,92.36,4867200.0,0.0,1.0,93.865,93.9,91.4,92.36,4867200.0
2007-10-01,93.42,94.1,92.83,93.41,5397400.0,0.0,1.0,93.42,94.1,92.83,93.41,5397400.0
2007-09-28,92.77,93.6,91.7,93.15,4813700.0,0.0,1.0,92.77,93.6,91.7,93.15,4813700.0
2007-09-27,94.07,94.11,93.1051,93.38,2812700.0,0.0,1.0,94.07,94.11,93.1051,93.38,2812700.0
2007-09-26,94.04,94.26,92.29,93.43,5770300.0,0.0,1.0,94.04,94.26,92.29,93.43,5770300.0
2007-09-25,91.99,93.5,90.95,93.4799,5800300.0,0.0,1.0,91.99,93.5,90.95,93.4799,5800300.0
2007-09-24,91.29,93.75,90.81,92.59,5321800.0,0.0,1.0,91.29,93.75,90.81,92.59,5321800.0
2007-09-21,90.29,91.9,89.65,91.3,6524500.0,0.0,1.0,90.29,91.9,89.65,91.3,6524500.0
2007-09-20,88.9,90.416,88.82,89.65,5780800.0,0.0,1.0,88.9,90.416,88.82,89.65,5780800.0
2007-09-19,89.52,89.82,88.26,89.0,6458700.0,0.0,1.0,89.52,89.82,88.26,89.0,6458700.0
2007-09-18,87.38,91.6,86.71,88.75,8924400.0,0.0,1.0,87.38,91.6,86.71,88.75,8924400.0
2007-09-17,86.98,87.34,85.98,86.91,4484500.0,0.0,1.0,86.98,87.34,85.98,86.91,4484500.0
2007-09-14,86.41,88.09,86.31,87.77,3954700.0,0.0,1.0,86.41,88.09,86.31,87.77,3954700.0
2007-09-13,87.95,88.07,86.5,87.26,5983500.0,0.0,1.0,87.95,88.07,86.5,87.26,5983500.0
2007-09-12,86.07,88.89,85.97,87.3,9030300.0,0.0,1.0,86.07,88.89,85.97,87.3,9030300.0
2007-09-11,84.17,86.61,83.53,86.28,6859800.0,0.0,1.0,84.17,86.61,83.53,86.28,6859800.0
2007-09-10,84.93,85.16,82.51,83.34,5366900.0,0.0,1.0,84.93,85.16,82.51,83.34,5366900.0
2007-09-07,84.7,84.97,83.21,84.52,8231200.0,0.0,1.0,84.7,84.97,83.21,84.52,8231200.0
2007-09-06,84.5,86.46,82.85,86.21,8826900.0,0.0,1.0,84.5,86.46,82.85,86.21,8826900.0
2007-09-05,82.24,84.89,82.22,83.75,9062200.0,0.0,1.0,82.24,84.89,82.22,83.75,9062200.0
2007-09-04,79.9,83.53,79.73,82.7,8266000.0,0.0,1.0,79.9,83.53,79.73,82.7,8266000.0
2007-08-31,80.0,80.53,79.7,79.91,6157400.0,0.0,1.0,80.0,80.53,79.7,79.91,6157400.0
2007-08-30,78.4,80.11,78.3,78.68,4628800.0,0.0,1.0,78.4,80.11,78.3,78.68,4628800.0
2007-08-29,76.96,79.05,76.86,79.05,5076800.0,0.0,1.0,76.96,79.05,76.86,79.05,5076800.0
2007-08-28,77.86,78.65,76.08,76.22,5767000.0,0.0,1.0,77.86,78.65,76.08,76.22,5767000.0
2007-08-27,80.56,80.8,78.42,78.65,6951300.0,0.0,1.0,80.56,80.8,78.42,78.65,6951300.0
2007-08-24,76.8,79.4,76.69,79.25,5665700.0,0.0,1.0,76.8,79.4,76.69,79.25,5665700.0
2007-08-23,78.94,79.0,76.51,77.3,5665000.0,0.0,1.0,78.94,79.0,76.51,77.3,5665000.0
2007-08-22,78.24,79.49,77.84,78.5,6848100.0,0.0,1.0,78.24,79.49,77.84,78.5,6848100.0
2007-08-21,74.21,77.83,74.09,77.49,8429100.0,0.0,1.0,74.21,77.83,74.09,77.49,8429100.0
2007-08-20,74.98,75.28,73.8001,74.7,5916100.0,0.0,1.0,74.98,75.28,73.8001,74.7,5916100.0
2007-08-17,74.49,75.04,73.11,75.02,7240600.0,0.0,1.0,74.49,75.04,73.11,75.02,7240600.0
2007-08-16,72.0,73.24,70.05,72.79,10787300.0,0.0,1.0,72.0,73.24,70.05,72.79,10787300.0
2007-08-15,72.97,75.15,72.26,72.38,6375900.0,0.0,1.0,72.97,75.15,72.26,72.38,6375900.0
2007-08-14,74.79,74.79,72.92,73.45,5946200.0,0.0,1.0,74.79,74.79,72.92,73.45,5946200.0
2007-08-13,76.09,76.32,74.7,74.87,6068600.0,0.0,1.0,76.09,76.32,74.7,74.87,6068600.0
2007-08-10,73.15,76.5,72.37,74.7801,9067600.0,0.0,1.0,73.15,76.5,72.37,74.7801,9067600.0
2007-08-09,76.4,77.26,74.11,74.11,8348400.0,0.0,1.0,76.4,77.26,74.11,74.11,8348400.0
2007-08-08,79.77,79.88,76.56,77.78,8244800.0,0.0,1.0,79.77,79.88,76.56,77.78,8244800.0
2007-08-07,78.55,80.0,77.89,79.14,8059300.0,0.0,1.0,78.55,80.0,77.89,79.14,8059300.0
2007-08-06,77.06,79.0,76.6,79.0,9002900.0,0.0,1.0,77.06,79.0,76.6,79.0,9002900.0
2007-08-03,79.54,80.75,76.71,76.7999,7987500.0,0.0,1.0,79.54,80.75,76.71,76.7999,7987500.0
2007-08-02,77.86,79.76,76.12,79.71,10361600.0,0.0,1.0,77.86,79.76,76.12,79.71,10361600.0
2007-08-01,78.1,78.15,75.06,77.31,16918000.0,0.0,1.0,78.1,78.15,75.06,77.31,16918000.0
2007-07-31,83.7,83.73,78.0,78.54,14104500.0,0.0,1.0,83.7,83.73,78.0,78.54,14104500.0
2007-07-30,83.0,84.05,81.51,82.7,12855600.0,0.0,1.0,83.0,84.05,81.51,82.7,12855600.0
2007-07-27,84.27,85.33,82.48,84.0399,13942600.0,0.0,1.0,84.27,85.33,82.48,84.0399,13942600.0
2007-07-26,85.02,89.0,83.43,84.01,23267100.0,0.0,1.0,85.02,89.0,83.43,84.01,23267100.0
2007-07-25,84.65,88.8,83.65,86.1799,60452400.0,0.0,1.0,84.65,88.8,83.65,86.1799,60452400.0
2007-07-24,71.04,72.16,68.85,69.25,25342300.0,0.0,1.0,71.04,72.16,68.85,69.25,25342300.0
2007-07-23,71.78,72.67,70.85,71.74,9267800.0,0.0,1.0,71.78,72.67,70.85,71.74,9267800.0
2007-07-20,72.62,72.96,70.5,71.63,9130700.0,0.0,1.0,72.62,72.96,70.5,71.63,9130700.0
2007-07-19,74.24,74.32,73.12,73.35,5273500.0,0.0,1.0,74.24,74.32,73.12,73.35,5273500.0
2007-07-18,73.27,73.49,72.25,73.32,6289700.0,0.0,1.0,73.27,73.49,72.25,73.32,6289700.0
2007-07-17,74.39,74.52,73.59,73.79,6084400.0,0.0,1.0,74.39,74.52,73.59,73.79,6084400.0
2007-07-16,74.73,74.84,73.0,73.69,8334900.0,0.0,1.0,74.73,74.84,73.0,73.69,8334900.0
2007-07-13,73.08,75.35,72.97,75.1,12502000.0,0.0,1.0,73.08,75.35,72.97,75.1,12502000.0
2007-07-12,71.31,73.57,70.73,72.79,11451600.0,0.0,1.0,71.31,73.57,70.73,72.79,11451600.0
2007-07-11,70.58,71.65,70.15,70.73,6593600.0,0.0,1.0,70.58,71.65,70.15,70.73,6593600.0
2007-07-10,71.65,71.94,70.07,70.28,8885400.0,0.0,1.0,71.65,71.94,70.07,70.28,8885400.0
2007-07-09,69.38,72.35,69.02,72.0699,14816900.0,0.0,1.0,69.38,72.35,69.02,72.0699,14816900.0
2007-07-06,68.75,69.3,68.01,68.97,4615300.0,0.0,1.0,68.75,69.3,68.01,68.97,4615300.0
2007-07-05,69.36,69.65,68.06,68.73,4487900.0,0.0,1.0,69.36,69.65,68.06,68.73,4487900.0
